injector_code,manufacturer_name,volt_ampere_profile,code_type,calibration_id,coefficient,is_custom,is_heui
295900-042#,Denso,DENSO_PIEZO,1,33,30,FALSE,FALSE
295900-043#,Denso,DENSO_PIEZO,1,52,30,FALSE,FALSE
2S6Q-9F593-AA,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
2S6Q-9F593-AB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
2S6Q-9F593-AC,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
2S6Q-9F593-BC,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
2S6Q-9F593-BD,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
33800-4570#,Denso,DENSO_COIL0.5,1,C0,30,FALSE,FALSE
33800-5200#,Denso,DENSO_COIL0.5,1,C3,30,FALSE,FALSE
3408-3412,Caterpillar,HEUI_3408,-1,,,FALSE,TRUE
3M5Q-9F593-DB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
3M5Q-9F593-EA,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
3M5Q-9F593-EB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
3M5Q-9F593-FB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
4H2Q-9K546-AE,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
4H2Q-9K546-AF,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
4M5Q-9F593-AD,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5-5567729C-A,Denso,DENSO_COIL0.5H,4,FF,22,FALSE,FALSE
5U3Q-9K546-AA,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40000,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40000-Z,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40007,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40044,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40063,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40086,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40087,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40103,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40148,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40148-Z,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40149-Z,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40156,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40156-4,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40156-4Z,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40156-6,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40156-Z,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40200,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40249,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40250,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40252,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40253,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40387,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40441,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40516,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
5WS40536,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
5WS40539,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
5WS40677,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
5WS40745,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
6C1Q-9K546-AC,Denso,DENSO_COIL0.5,2,F0,16,FALSE,FALSE
6C1Q-9K546-BB,Denso,DENSO_COIL0.5,2,F1,16,FALSE,FALSE
6C1Q-9K546-BC,Denso,DENSO_COIL0.5,2,F4,16,FALSE,FALSE
6H4Q-9K546-DB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
6H4Q-9K546-EB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
7C16-9K546-AB,Denso,DENSO_COIL0.5,2,F2,16,FALSE,FALSE
7H2Q-9K546-CB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
7T1Q-9F593-AB,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
8-97185242-#,Denso,DENSO_COIL0.5,1,D1,30,FALSE,FALSE
8-97239161-#,Denso,DENSO_COIL3,-1,,,FALSE,FALSE
8-9730671-#,Denso,DENSO_COIL0.5,-1,,,FALSE,FALSE
8-9730673-#,Denso,DENSO_COIL0.5,-1,,,FALSE,FALSE
8-97313861-#,Denso,DENSO_COIL0.5,4,50,22,FALSE,FALSE
8-97329703-#,Denso,DENSO_COIL0.5,1,55,30,FALSE,FALSE
8-97353080-#,Denso,DENSO_COIL3,-1,,,FALSE,FALSE
8-97376270-#,Denso,DENSO_COIL0.5,4,5D,22,FALSE,FALSE
8-97601156-#,Denso,DENSO_COIL0.5,1,58,30,FALSE,FALSE
8-97602485-#,Denso,DENSO_COIL0.5,1,56,30,FALSE,FALSE
8-97602803-#,Denso,DENSO_COIL0.5,1,58,30,FALSE,FALSE
8-97603415-#,Denso,DENSO_COIL0.5,1,5A,30,FALSE,FALSE
8-97609788-#,Denso,DENSO_COIL0.5,1,64,30,FALSE,FALSE
8-97609789-#,Denso,DENSO_COIL0.5,1,65,30,FALSE,FALSE
8-98011604-#,Denso,DENSO_COIL0.5,3,5F,24,FALSE,FALSE
