id,pump_code,test_name,vacuum,adjusting_time,measuring_time,motor_speed,target_pressure,min_direct_flow,max_direct_flow,min_back_flow,max_back_flow,regulator_current,pcv_current,calibration_min_i,calibration_max_i,calibration_i1,calibration_i2,calibration_i_offset,is_custom
8893,0 986 437 456,11,FALSE,10,20,3375,500,40.2,61.8,,,1.2,,,,,,,FALSE
8894,0 986 437 456,12,FALSE,10,20,3375,500,7.8,22.8,,,1.5,,,,,,,FALSE
8895,0 986 437 456,13,TRUE,10,20,1000,0,0,0.6,,,1.8,,,,,,,FALSE
8896,0 986 437 457,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8897,0 986 437 457,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8898,0 986 437 457,5,FALSE,10,20,200,200,2.4,6.6,,,0.4,,,,,,,FALSE
8899,0 986 437 457,7,FALSE,10,20,1000,2000,15,24.6,,,0.4,,,,,,,FALSE
8900,0 986 437 457,10,FALSE,10,20,3375,500,46.2,64.2,,,0.9,,,,,,,FALSE
8901,0 986 437 457,11,FALSE,10,20,3375,500,24,39.6,,,1.2,,,,,,,FALSE
8902,0 986 437 457,12,FALSE,10,20,3375,500,5.4,18,,,1.5,,,,,,,FALSE
8903,0 986 437 457,13,TRUE,10,20,1000,0,0,0.9,,,1.8,,,,,,,FALSE
8904,0 986 437 458,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8905,0 986 437 458,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8906,0 986 437 458,5,FALSE,10,20,200,200,7.8,16.2,,,0.4,,,,,,,FALSE
8907,0 986 437 458,7,FALSE,10,20,1500,2200,67.2,81.6,,,0.4,,,,,,,FALSE
8908,0 986 437 458,10,FALSE,10,20,3375,500,105.6,148.2,,,0.9,,,,,,,FALSE
8909,0 986 437 458,11,FALSE,10,20,3375,500,52.2,81,,,1.2,,,,,,,FALSE
8910,0 986 437 458,12,FALSE,10,20,3375,500,5.4,21.6,,,1.5,,,,,,,FALSE
8911,0 986 437 458,13,FALSE,10,20,1000,0,,0.84,,,1.8,,,,,,,FALSE
8912,0 986 437 459,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
8913,0 986 437 459,2,TRUE,60,,2000,500,,,,,1.7,,,,,,,FALSE
8914,0 986 437 459,5,TRUE,10,20,200,200,1.8,5.4,,,1.7,,,,,,,FALSE
8915,0 986 437 459,7,TRUE,10,20,1000,1600,12,21,30,60,1.7,,,,,,,FALSE
8916,0 986 437 459,10,TRUE,10,20,3375,500,49.8,66.6,,,1.7,,,,,,,FALSE
8917,0 986 437 459,11,TRUE,10,20,3375,500,38.4,55.8,,,1.3,,,,,,,FALSE
8918,0 986 437 459,12,TRUE,10,20,3375,500,11.4,25.2,,,0.9,,,,,,,FALSE
8919,0 986 437 459,13,TRUE,10,20,3375,500,0.48,9,,,0.7,,,,,,,FALSE
8920,0 986 437 459,14,TRUE,10,20,1000,0,0,0.6,,,0.2,,,,,,,FALSE
8921,0 986 437 460,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
8922,0 986 437 460,2,TRUE,60,,2000,500,,,,,1.7,,,,,,,FALSE
8923,0 986 437 460,5,TRUE,10,20,200,200,2.4,4.8,,,1.7,,,,,,,FALSE
8924,0 986 437 460,7,TRUE,10,20,1000,1600,12,21,30,60,1.7,,,,,,,FALSE
8925,0 986 437 460,10,TRUE,10,20,3375,500,49.8,66.6,,,1.7,,,,,,,FALSE
8926,0 986 437 460,11,TRUE,10,20,3375,500,38.4,55.8,,,1.3,,,,,,,FALSE
8927,0 986 437 460,12,TRUE,10,20,3375,500,11.4,25.2,,,0.9,,,,,,,FALSE
8928,0 986 437 460,13,TRUE,10,20,3375,500,0.48,9,,,0.7,,,,,,,FALSE
8929,0 986 437 460,14,TRUE,10,20,1000,0,0,0.6,,,0.2,,,,,,,FALSE
8930,0 986 437 461,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8931,0 986 437 461,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
